MB Patil and DK Sharma,WEL Lab-AXMEGA DAQ,[ 1/2 students ] Specs: 2 Analog o/p 8 Analog i/p 36 Digital I/O Development of Hardware and software development,Selection - CPI
MB Patil and DK Sharma,WEL Lab-ATXMEGA storage oscillioscope,[ 2 + 2 students ] Using free / open source user interface App for Laptop / Aakash One team of [ max 2 students ] for hardware / software of DSO One team of [ max 2 students ] for python based GUI,Selection - CPI
MB Patil and DK Sharma,"WEL Lab-Free and open source programmer
","[1/2 students ] WEL platforms like Pt51, ATXMEGA, Krypton, Aurum 24, Aurum v.1.1 Program in Android or Ubuntu to mimic the function of FLIP",Selection - CPI
MB Patil and DK Sharma,WEL Lab-Raspberry Pi Applications,"[ max 5 students ] Open, come with ideas, if ideas are different 5 students can be given chance",Selection - CPI
MB Patil and DK Sharma,"WEL Lab-disPIC for audio application
",[ 2 students ] Digital filter implementation using disPIC33F,Selection - CPI
MB Patil and DK Sharma,"WEL Lab-Platform using C8051F380TQ
",[ 2 students ] Analog intensive 8051 core platform,Selection - CPI
Girish Kumar,Complete solar based system,2 students,
Girish Kumar,"Cell tower radiation real life calculation, web development",2 students,
Girish Kumar,Wireless communications ,2 students,
Girish Kumar,Microwave application on food processing ,2 students,
V M Gadre,,"This project is to evolve an uncertainty like principle in a signal detection problem, involving chirp signals. For the past two summers, this project has been given to summer students under SPAS and differential progress made. This summer, we wish to take the next step: read about the uncertainty principle in the Fractional Fourier domain, investigate whether it can be generalized fora general 'Fractional' domain. A student who takes this project will also have to: (i) do some routine simulations using SciLab/ Matlab after getting familiarity (ii) help in some educational documentation as a common activity given to all students working with me.","[ 2, atmost 3 students] Selection process: Exam and Interviews"
Bipin Rajendran,,"Biological neurons behave in a very counterintuitive and surprising manner: For a noisy input, the behavior is deterministic, and for a clean dc input, the behavior is very noisy. We will simulate the basic dynamics of the neuron using MATLAB or C to come up with a model that explains this. The final goal will be to build logic circuits using nanoscale devices that are faulttolerant based on similar algorithmic principles.","1 student, CPI+Interview"
Bipin Rajendran,,There are a small number of neurons that activate the muscles in a specific periodic manner to enable locusts to fly. We will try to simulate and understand this behavior with a goal of building an electronic system that could control flying quadcopters.,"2 students, CPI+Interview"
Maryam Shojaei Baghini,,Development of various instrumentation techniques for signal conditioning of soil moisture sensor outputs for agriculture applications. ,2 students CPI
Maryam Shojaei Baghini,,RF energy harvesting circuits and systems. ,1 student CPI
