Vivek Agarwal,"Power conversion: New converter topologies, High frequency link power conversion, ZCS-ZVS configurations, Switched Capacitor DC-DC converters, Power quality issues: Power factor correction techniques, Static VAR compensation, Active filters , Non-conventional energy (solar PV, wind, fuel cell) : Power conditioning, maximum power point tracking, stand-alone and grid connected systems, Microgrid",http://www.ee.iitb.ac.in/~agarwal/,elec
Sadanand D. Agashe,"Control theory, Network theory, Speech analysis and Synthesis",http://www.ee.iitb.ac.in/~eesdaia/,elec
Prakash Apte,"MicroElectroMechanical Systems(MEMS), Quality and Reliability, Taguchi and TRIZ Methodologies",http://www.ee.iitb.ac.in/wiki/faculty/apte,elec
Brij Mohan Arora,Optoelectronic materials and devices III-IV compound semiconductors solar cells,http://www.ee.iitb.ac.in/wiki/faculty/bmarora,elec
Arjun Arunachalam,"Medical Imaging- Advanced MRI data acquisition and image reconstruction techniques ,Advanced Image visualization algorithms development, Clean energy- High concentration Photovoltaic (HCPV) concentrator design and development",http://www.ee.iitb.ac.in/wiki/faculty/a_arjun,elec
Sibi Raj B Pillai,"Fundamental Limits of Communication Systems, Information Theory and its applications, Compressed Sensing, Stochastic Modeling, Resource Allocation Problems, Interference Channels, Relaying and Broadcasting",http://www.ee.iitb.ac.in/~bsraj/,elec
Madhu N. Belur,"Control theory, dissipative systems, graph theoretic methods, decentralized control, behavioral theory control, Fault diagnosis",http://www.ee.iitb.ac.in/~belur,elec
Vivek Shripad Borkar,"Stochastic Control, Learning Control Theory, Random Processes",http://www.ee.iitb.ac.in/wiki/faculty/borkar,elec
Subhananda Chakrabarti,"III-V Compound semiconductor materials growth and characterization, Optoelectronic Devices of interest includes quantum dot photodetectors and Solar cells, III-V device integration on germanium",http://www.ee.iitb.ac.in/wiki/faculty/subho,elec
Debraj Chakraborty,"Optimal Control, Linear Systems, Optimization, Differential Games, Game Theory",http://www.ee.iitb.ac.in/wiki/faculty/dc,elec
Arun N. Chandorkar,"Analog and Mixed signal VLSI Design, Ultra-Thin Gate insulators for VLSI Technologies, Ultra-Thin Gate insulators for VLSI Technologies, RF VLSI Design, Radiation Hard MOS Technologies, Communication/DSP based System and chip Design, Semiconductor Device modelling and Reliability Simulation Tools, Memory Testing, Analog and Mixed signal Test and Fault simulation, Accelerated Device Testing and Reliability, Modelling High Power semiconductor Devices, Power Electronic Systems, Optically Switched Microwave components, Sensors, Microelectronics System Packaging",http://www.ee.iitb.ac.in/wiki/faculty/anc,elec
Mukul C. Chandorkar,,http://www.ee.iitb.ac.in/~mukul/mcc1.html,elec
Prasanna Chaporkar,"Resource Allocation and scheduling in wired/wireless networks, Optimization and control of stochastic systems, Distributed systems and algorithms",http://www.ee.iitb.ac.in/wiki/faculty/chaporkar,elec
Kishore Chatterjee,"Utility friendly converter topologies, Power Factor Correction techniques, STATCOM, Switched Mode Rectifiers, Electronic Ballast, Control of Electric Drives",http://www.ee.iitb.ac.in/wiki/faculty/kishore#top,elec
Subhasis Chaudhuri,"Multimedia, Computer Vision, Image Processing, Pattern Recognition, Biomedical Signal Processing, Computational Haptics",http://www.ee.iitb.ac.in/~sc/,elec
Madhav P. Desai,"VLSI Circuits and Systems, VLSI design and design automation, Graph theory and combinatorics",http://www.ee.iitb.ac.in/~madhav/,elec
"Uday B. Desai (Currently Director, IIT Hyderabad)","Signal Processing, Wireless Communication (Multiuser Detection), Adaptive Signal Processing, Image and Video Processing Wavelets, Biomedical Signal and Image Processing, Artificial Neural Networks",http://www.iith.ac.in/~ubdesai/,elec
Bikash Kumar Dey,"Information Theory, Coding Theory, Wireless communication",http://www.ee.iitb.ac.in/wiki/faculty/bikash,elec
Siddhartha P. Duttagupta,"Microelectronics, Micro/Nano Sensor Technology Optimization and Application, Sensor Integrated Electronic Circuits and Systems- Design, Development and Deployment",http://www.ee.iitb.ac.in/wiki/faculty/sdgupta,elec
Baylon G. Fernandes,"Inverter topologies for VAr compensation., Power electronic interface for non-conventional energy sources, Permanent magnet machines for wind power generation, Switched reluctance machines for electric vehicle application",http://www.ee.iitb.ac.in/wiki/faculty/bgf,elec
Vikram M. Gadre,"Communication and signal processing, with emphasis on multiresolution and multirate signal processing, especially wavelets and filter banks: theory and applications",http://www.ee.iitb.ac.in/wiki/faculty/vmgadre,elec
Swaroop Ganguly,"Physics and technology of nanoscale devices, Spin-based devices and circuits, Energy-conversion devices, Neuromorphic devices and circuits",http://www.ee.iitb.ac.in/wiki/faculty/sganguly,elec
Udayan Ganguly,"Flash Memory materials and device optimization, Nanocrystal, nanotubes, nanowires growth and device characterization, Novel materials/process integration in CMOS platform, Chemical and bio sensors, Experimental device physics with modeling/design",http://www.ee.iitb.ac.in/wiki/faculty/udayan,elec
Shalabh Gupta,"High-speed CMOS analog/RF/mm-wave integrated circuits and systems, Optical fiber communication systems, Microwave photonics / ultrafast data conversion using photonics , Beamforming antenna systems, Signal processing for these systems",http://www.ee.iitb.ac.in/wiki/faculty/shalabh,elec
Joseph John,"Analog and Digital Circuits, Optical Fiber Communications, Indoor Optical Wireless Systems, Modern Electronic Systems and Instrumentation",http://www.ee.iitb.ac.in/wiki/faculty/jjohn,elec
Abhay Karandikar,"Control and Performance Modeling of Wireless Networks, Quality of Service and Resource Allocation in Wired/Wireless Networks, Next Generation Wireless Network Protocols (related to 802.16m, LTE-Advanced and 4G Standards), Co-operative Relay and Self Organizing Network, Carrier Ethernet and Mobile Backhaul, Rural Wireless Network",http://www.ee.iitb.ac.in/~karandi/,elec
Gaurav S Kasbekar,"Modeling, design and analysis of wireless networks, Game theoretic and economic aspects of spectrum allocation, Cognitive radio networks, Lifetime and coverage problems in wireless sensor networks",http://www.ee.iitb.ac.in/~gskasbekar,elec
Shrikrishna A. Khaparde,"Deregulation in Power Industry: optimal bidding, and congestion management, Object Oriented Power System Analysis, Controlled series compensation using SSSC, Harmonic Distortion in Distribution systems, Design and Operation of small tidal power plant, Modelling and Design of transformer",http://www.ee.iitb.ac.in/wiki/faculty/sak,elec
Anil Kottantharayil,"CMOS device physics, design and modelling, Materials for advanced CMOS devices CMOS device physics, design and modelling, Materials for advanced CMOS devices, Electrical characterization, Gate oxide reliability and hot-carrier effects, Radiation effects on MOS devices",http://www.ee.iitb.ac.in/wiki/faculty/anilkg,elec
Anupama Kowli,"Power system planning, operations and control, Electricity markets and economics of electric power grids, Policy and regulation for electric power grids, Grid integration of renewable generation and distributed storage, Demand-side management, demand response and flexible loads, Smart grids and its enabling technologies and mechanisms",http://www.ee.iitb.ac.in/~anu.kowli,elec
Shrikrishna V. Kulkarni,"Transformers: Design, Analysis and Diagnostics, Electromagnetic and Coupled Field Computations, Power Engineering: Distributed Generation, High Voltage Engineering: Insulation Design/Diagnostics",http://www.ee.iitb.ac.in/wiki/faculty/svk,elec
Anil Kulkarni,"Power System Dynamics and Control, Application of Power Electronics to Power Systems, Flexible AC Transmission Systems, HVDC Transmission Systems",http://www.ee.iitb.ac.in/wiki/faculty/anil,elec
Animesh Kumar,"Signal processing, communication systems, applied statistics, SRAM reliability models",http://www.ee.iitb.ac.in/~animesh,elec
Girish Kumar,"Microstrip antennas and arrays, Broadband antennas, Microwave integrated circuits, EMI/ EMC, RF communication circuits",http://www.ee.iitb.ac.in/wiki/faculty/gkumar,elec
Apurba Laha,"Oxide based electronics: Epitaxial rare earth oxides (high-K dielectrics) on Si, Ge and SiGe substrates for gate dielectric application in next generation CMOS, oxide heterostructures. , Si, Ge and SiGe based Nanostructure for photonics",http://www.ee.iitb.ac.in/wiki/faculty/laha,elec
Saurabh Lodha,"CMOS process integration and device physics, Materials and processes for advanced CMOS devices, Metal-semiconductor interfaces, Molecular devices",http://www.ee.iitb.ac.in/wiki/faculty/slodha,elec
Souvik Mahapatra,"Electrical characterization, modeling and simulation of micro/nano electronic devices, NBTI/PBTI and Hot carrier degradation in MOSFETs, High-k gate dielectrics, Advanced CMOS device reliability, Flash EEPROMs - Floating gate, SONOS/SANOS & Metal Nanopartic",http://www.ee.iitb.ac.in/wiki/faculty/souvik,elec
D Manjunath,"Computer and Communication Network Protocols, Systems and Algorithms Performance Modeling, Queueing Theory and Simulation, Stochastic Systems",http://www.ee.iitb.ac.in/wiki/faculty/dmanju,elec
Shabbir Merchant,"Signal Processing, Adaptive Signal Processing",http://www.ee.iitb.ac.in/wiki/faculty/merchant,elec
Jayanta Mukherjee,"RF VLSI Design, Antenna Design, Biomedical IC Design, Testing and Characterization, Analog VLSI, Digital VLSI, Noise Modeling",http://www.ee.iitb.ac.in/~jayanta,elec
Bhaskaran Muralidharan,"Computational nanolectronics, spintronics , nano scale energy conversion",http://www.ee.iitb.ac.in/wiki/faculty/bm,elec
Pradeep R. Nair,"Nanoscale devices for energy and healthcare applications., Semiconductor device physics and reliability., Microelectromechanical systems (MEMS)",http://www.ee.iitb.ac.in/wiki/faculty/prnair,elec
Harihar Narayanan,"Building large scale circuit simulators, Combinatorial optimization including submodular function theory, Large scale system partitioning",http://www.ee.iitb.ac.in/~hn/,elec
Prem C. Pandey,"Speech & Signal Processing, Biomedical Signal Processing & Instrumentation, Electronic Instrumentation, Embedded Electronic System Design",http://www.ee.iitb.ac.in/~pcpandey/,elec
Mahesh B. Patil,Circuit simulation Semiconductor device modelling and simulation Real-time simulation of power electronic circuits and system,http://www.ee.iitb.ac.in/wiki/faculty/mbpatil,elec
Sachin Patkar,Combinatorial optimization Matroid Theory Submodular Functions Linear/Integer programming Network Flows High Performance Computing FPGA-based accelerated computing GPU based acceleration High Performance Circuit Simulation Algorithms Design and Analysis,http://www.ee.iitb.ac.in/wiki/faculty/patkar,elec
Harish K. Pillai,"Control theory, Systems theory, Multidimensional systems, Numerical and computational methods, Coding theory, Optimization techniques, Electromagnetics",http://www.ee.iitb.ac.in/wiki/faculty/hp,elec
Richard Pinto,,http://www.ee.iitb.ac.in/wiki/faculty/rpinto,elec
Bipin Rajendran,"Nanoscale science and technology, Biomimetic engineering & computation, Novel materials & devices for memory/logic applications, Three-dimensional & heterogeneous integration, Sensing & analytics for urban challenges",https://sites.google.com/site/rajendranbipin/,elec
Valipe Ramgopal Rao,"Nanoelectronics Technology Aware Design Challenges with Emerging Technologies (Process-Device-Circuit Interactions with Multigate MOSFETs, Polymer Transistors, Molecular Electronics etc.)CMOS Reliability Bio-MEMS",http://www.ee.iitb.ac.in/~rrao/,elec
Preeti Rao,"Speech and Audio Signal Processing, Music Information Retrieval",http://www.ee.iitb.ac.in/wiki/faculty/prao,elec
Dipankar Saha,"Microelectronics New Device Physics Semiconductor Spintronics Spin injection, transport and detection in III-V systems Device Reliability",http://www.ee.iitb.ac.in/wiki/faculty/dsaha,elec
Dinesh K. Sharma,MOS device modeling VLSI design and technology. Microelectronics - technology and device characterisation mixed signal design,http://www.ee.iitb.ac.in/wiki/faculty/dinesh,elec
"Raghunath K. Shevgaonkar (Currently Director, IIT Delhi)",Fibre Optic Communication Photonics Non-linear fibre optics Antennas Image Processing Radio Astronomy,http://www.ee.iitb.ac.in/wiki/faculty/rks,elec
Maryam Shojaei Baghini,"Technology-aware design (device circuit co-design), integrated circuits and system design with emerging devices, Analog/Mixed-signal VLSI design and test (SoC, LV, LP, LE, Biomedical/Biosensors, Bio-inspired circuits and systems, I/O, highly-precise circuits and systems, instrumentation, energy harvesting and many more applications), Specific technologies and performance-optimized analog/mixed-signal/RF circuits & systems for healthcare applications, Integrated power management for SOC applications, High-speed data transmission and interconnects, Circuit and system modeling/optimization, Circuit and system design with organic thin film components, RF/Microwave integrated circuit design, Analog aspects of digital circuits, Sensor-Circuit Integration, Analog/Mixed-signal/RF EDA (CAD tools, theory and implementation), VLSI design and embedded systems",http://www.ee.iitb.ac.in/wiki/faculty/mshojaei,elec
Anshuman Shukla,"Multilevel converters and Modulation and control of power electronic converters, Power electronics applications in power systems (FACTS, HVDC, custom power devices, etc.), Renewable energies and Energy storage, Control of electric drives, Hybrid and solid-state circuit breakers and current limiters",http://www.ee.iitb.ac.in/wiki/faculty/ashukla,elec
Virendra Singh,Computer Architecture Processor architecture & micro-architecture VLSI Testing Fault-tolerant computing Robust design and architectures Self-healing system design SoC/NoC design and test Post Silicon Debug High level synthesis Formal verification,http://www.ee.iitb.ac.in/~viren/,elec
Shreevardhan A. Soman,"Power system analysis, computation and economics, Power system protection",http://www.ee.iitb.ac.in/web/faculty/homepage/soman,elec
Virendra R. Sule,"Cryptology: Block and stream ciphers, efficient arithmetic for public key cryptography, algebraic cryptanalysis, Dynamical systems and feedback control theory: Boolean dynamical systems, design of feedback compensation for high bandwidth analogue systems, Stabilization theory. Extension of feedback theory for linear active network synthesis, Computation: Algorithms for parallel computation, solutions of Boolean equations and applications",http://www.ee.iitb.ac.in/wiki/faculty/vrs,elec
Ashwin A. Tulapurkar,"Spintronics, Physics of nano-devices, Spin-current induced magnetization switching, RF properties of spintronic devices, Noise, Thermoelectric effects (looking for a good Ph.D. student in this area)",http://www.ee.iitb.ac.in/wiki/faculty/ashwin,elec
Juzer M. Vasi,"Silicon photovoltaic devices, Nanocrystal based solar cells, Reliability of solar modules, CMOS insulators, transport in MOS insulators, characterization of bulk and interface traps in these insulators, Flash memory devices, CMOS device degradation and reliability: Study of hot-carrier effects, radiation effects, high-field stressing and breakdown in MOS devices, Nanoelectronics",http://www.ee.iitb.ac.in/wiki/faculty/vasi,elec
Rajbabu Velmurugan,"Statistical and digital signal processing, Signal processing system design, Particle filter applications, Target tracking systems",http://www.ee.iitb.ac.in/web/faculty/homepage/rajbabu,elec
Ajit Kumar Verma,Reliability in Engineering Design Software Reliability Design and Analysis of Fault Tolerant Systems Physics of Failures PSA RBI Power System Reliability,http://www.ee.iitb.ac.in/wiki/faculty/akv,elec
Saravanan Vijayakumaran,"Signal Processing for Communications, Parallel Simulation Algorithms",http://www.ee.iitb.ac.in/~sarva,elec
