Prof. P.P.Singh,Condensed Matter Physics,ep
Prof. Alok Shukla,Condensed Matter Physics,ep
Prof. K.G. Suresh,Condensed Matter Physics,ep
Prof. C.V.Tomy,Condensed Matter Physics,ep
Prof. M.SenthilKumar,Condensed Matter Physics,ep
Prof. K.C.Rustagi,Condensed Matter Physics,ep
Prof. Shiva Prasad,Condensed Matter Physics,ep
Prof. G.Mukhopadhyay,Condensed Matter Physics,ep
Prof. N. Nambudripad,Condensed Matter Physics,ep
Prof. D.S.Misra,Condensed Matter Physics,ep
Prof. A .V.Mahajan,Condensed Matter Physics,ep
Prof. Subhabrata Dhar,Condensed Matter Physics,ep
Prof. S.S.Jha,Condensed Matter Physics,ep
Prof. D.K.Ghosh,Condensed Matter Physics,ep
Prof.Indra Dasgupta,Condensed Matter Physics,ep
Prof. S.N.Bhatia,Condensed Matter Physics,ep
Prof. R. Vijaya,Photonics and Optics,ep
Prof. B. P. Singh,Photonics and Optics,ep
Prof. T.Kundu,Photonics and Optics,ep
Prof. P.Vasa,Photonics and Optics,ep
Prof. Y.K.Gambhir,Nuclear Physics,ep
Prof. Basanta Nandi,Nuclear Physics,ep
Prof. R.Varma,Nuclear Physics,ep
Prof. P.Das,Nuclear Physics,ep
Prof. Kumar Rao,High Energy Physics,ep
Prof. Asmita Mukherjee,High Energy Physics,ep
Prof. P. Ramadevi,High Energy Physics,ep
Prof. S. Umasankar,High Energy Physics,ep
Prof. U. A. Yajnik,High Energy Physics,ep
Prof. S. H. Patil,High Energy Physics,ep
Prof. Dibyendu Das,Statistical Physics,ep
Prof. Anirban Sain,Statistical Physics,ep
