prof,Research Interests,Home Page Links,dept,,
Prof. Bahadur D.,"Magnetic nanoparticles for biosensing applications
Nanohybrids and their biomedical applications",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=db,meta,,
,,,meta,,
Prof. N B Ballal,"Transport phenomena applied to materials processing
Process Modelling
Physical Chemistry
Process development in iron and steel processing and casting
Development and transfer of technology for Electro-slag refining of special alloys to the industry. (involvement in the past)
He also has a keen interest in the traditional metallurgical practices and the history of iron making technology in India.
Transport phenomena applied to materials processing
Process Modelling",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=nbb,meta,,
Prof. Somnath Basu,"Metal refining
Thermodynamics
Slag-metal interactions
Continuous casting",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=sb,meta,,
Prof. Parag Bhargava,"Powder Processing
Near Net Shape Forming of Advanced Ceramics
Gel casting
Rapid prototyping
Rheology of Suspensions
Indentation Cracking of Ceramics
Ceramic composites
Quantitative microscopy",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=pb,meta,,
Prof. Arup Ranjan Bhattacharyya,"Polymer blends
Polymer nanocomposites",arupranjan@iitb.ac.in,meta,,
Prof. Rajiv O. Dusane,"Synthesis and characterization of amorphous and nanocrystalline thin films of elemental semiconductors and alloys, silicon nano devices, for applications such as thin film solar cells, thin film transistors for flat panel displays, MEMS devices, nuclear detections
Plasma processing and surface nano-engineering",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=rod,meta,,
Prof. Prakash Gopalan,"Experimentation concerning use of high temperature ionic conductors like Lithium sulphate and Sodium sulphate in solid state betteries at room temperature
Growth and characterization of oxide materials for GMR applications.",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=pg,meta,,
Prof. Dipti Gupta,"Flexible/Plastic Electronics based on organic semiconductors,metal-oxides and graphenes
Devices under focus: Thin film transistors, Solar cells, Memories, Light emitting diodes, Photodetectors
Materials and device characterization  
Device physics and Simulation",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=dg,meta,,
Prof. M. P. Gururajan,"Microstructural evolution
Thermodynamics and mechanics of materials
Phase Transformations
Phase field modelling",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=mpg,meta,,
Prof. Bhagwati P Kashyap,"Deformation, Creep, Superplasticity, Low Temperature Deformation
Thermo-mechanical Treatment
Grain Boundary Phenomena and Grain Boundary Engineering",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=bpk,meta,,
Prof. Anand S. Khanna,"High Temperature Corrosion
Surface Modifications
Organic Paint Coatings
Rebar Corrosion",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=ask,meta,,
Prof. Nirdosh K. Khosla,"Mineral Processing
Instrumentation",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=nkk,meta,,
Prof. Ajit R Kulkarni,"Dielectrics: Thin Films and bulk ceramics
Electronic Ceramics
Solid Electrolytes: Sensors and batteries
Structure Properties Correlations",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=ark,meta,,
Prof. S. Mallick,"Dye Sensitized Solar Cells
Electroceramics",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=sm2,meta,,
Prof. Amartya Mukhopadhyay,"Designing oxide-based, graphite-based and metallic alloy-based novel electrode materials for Li-ion batteries
Understanding the correlation between crystallography-microstructure-stress development-electrochemical performance of electrode materials for use in Li-ion battery
Carbon nanotube reinforced composites
Advanced structural ceramics and ceramic nanocomposites
Stress determination in thin films In-situ during processing and application
Tribology of materials",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=am,meta,,
Prof. K. Narasimhan,"Sheet metal forming
Superplasticity
Modelling and Simulation",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=kn,meta,,
Prof. A. S. Panwar,"Multi-scale molecular modelling of self-assembly in macromolecular systems
Macromolecular transport in micro- and nano-scale channels
High-performance computing for macromolecular and composite systems",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=asp,meta,,
Prof. S. Parida,"Corrosion and mitigation
Electrochemical nanostructuring
Functional application of nanostructured metals & alloys",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=sp,meta,,
Prof. Om Prakash,"Experimental studies of layered Cuprates (SC & non-SC)
Ferrites & Dielectrics for r. f. & microwave applications
Nanocrystalline oxide powders of 3d metals &Sn",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=op,meta,,
Prof. Prita Pant,"Mechanical Behavior of Thin Films
Dislocation Dynamics Simulation of deformation
Nanoindentation studies of heterogeneous deformation in metals
Ni-Ti based shape memory materials",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=pp,meta,,
Prof. N. Prabhu,"Phase Transformations
Structure - Property Relationships
Electron Microscopy",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=np,meta,,
Prof. Prasanna T.R.S.,"Materials for Solid oxide fuel cells, composite electrolytes, electrode materials
Theoretical Materials Science, role of thermal vibrations in phase transitions",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=ptrs,meta,,
Prof. M.J.N.V. Prasad,"Nanocrystalline, amorphous, and implant materials
Indentation, Fatigue, Creep and Superplasticity
Microstructural Investigation (SEM, FIB, TEM, AFM)
Electrodeposition
Severe plastic deformation",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=pmjnv,meta,,
Prof. R. C. Prasad,"Mechanical Behaviour of Materials
Fatigue
Fracture
Corrosion Fatigue
SCC
Hydrogen Embrittlement
Failure Analysis
Composite Materials",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=rcp,meta,,
Prof. V. S. Raja,"Structure-processing-corrosion property relation
Light Metals
Electrochemical Impedance Spectroscopy
Stress Corrosion Cracking
Graded Coating
High Temperature and High Pressure Aqueous Corrosion
Weld Related Corrosion
Failure Analysis",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=vsr,meta,,
Prof. Indradev S. Samajdar,"Crystallographic Texture
Microstructural Engineering
Thermomechanical Processing",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=iss,meta,,
Prof. S. Saxena,"Ab initio calculations of electronic and structural properties of materials
Nanostructured materials and their applications
Carbon based materials such as Graphene, Carbon nanotubes and graphite intercalated materials
Time – dependent ab-initio calculations for photovoltaic applications",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=ss,meta,,
Prof. Shobha Shukla,"Nanophotonic devices
Nanomaterials
Metamaterials
Plasmonic devices",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=ss2,meta,,
Prof. Raman S. Srinivasa,"Artificially layered materials
Sensor materials and surface modifications through chemical vapour deposition",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=rss,meta,,
Prof. N. Venkataramani,"Ferrimagnetics - Bulk and thin film
Electronic materials
Structure property correlations in nanocrystalline systems
Scanning probe microscopy",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=nv,meta,,
Prof. N.N. Viswanathan,"Blast Furnace Modelling
Transport Phenomena
Process Metallurgy",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=nnv,meta,,
Prof. Satish Vitta,"Magnetic and electrical properties of metals, alloys and oxides
optical behavior of ultra thin layered multilayers.",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=sv,meta,,
Prof. Bahadur D.,"Magnetic nanoparticles for biosensing applications
Nanohybrids and their biomedical applications",http://www.met.iitb.ac.in/main.html?sec=people&content=facultyProfiles/facPro&extra=db,meta,,
Prof. N B Ballal,"Transport phenomena applied to materials processing
Process Modelling
Physical Chemistry
Process development in iron and steel processing and casting
Development and transfer of technology for Electro-slag refining of special alloys to the industry. (involvement in the past)
He also has a keen interest in the traditional metallurgical practices and the history of iron making technology in India.
Transport phenomena applied to materials processing
Process Modelling",Email: nbb@iitb.ac.in,meta,,
